Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"453", 0.4, 1,    235.006,  -29.8,    1.0176, 2,    235.819, -150.2,    1.0211, 3,    237.941,   90.1,    1.0303
"454", 0.4, 1,    235.032,  -29.8,    1.0177, 2,    235.834, -150.2,    1.0212, 3,    237.934,   90.1,    1.0303
"455", 0.4, 1,    235.823,  -29.9,    1.0211, 2,    236.232, -150.1,    1.0229, 3,    237.535,   90.0,    1.0286
"456", 0.4, 1,     235.68,  -29.8,    1.0205, 2,    236.021, -150.1,     1.022, 3,    237.548,   90.0,    1.0286
"457", 0.4, 1,    235.786,  -29.9,     1.021, 2,    236.177, -150.1,    1.0227, 3,    237.599,   90.0,    1.0288
"458", 0.4, 1,    235.883,  -29.9,    1.0214, 2,    236.314, -150.1,    1.0233, 3,    237.572,   90.0,    1.0287
"459", 0.4, 1,    235.882,  -29.9,    1.0214, 2,    236.313, -150.1,    1.0233, 3,    237.672,   90.0,    1.0291
"460", 0.4, 1,    234.948,  -29.8,    1.0174, 2,    235.774, -150.2,    1.0209, 3,    237.953,   90.1,    1.0304
"461", 0.4, 1,    235.006,  -29.8,    1.0176, 2,    235.819, -150.2,    1.0211, 3,    237.941,   90.1,    1.0303
"462", 0.4, 1,    234.987,  -29.8,    1.0175, 2,    235.819, -150.2,    1.0211, 3,    237.941,   90.1,    1.0303
"463", 0.4, 1,    235.823,  -29.9,    1.0211, 2,    236.232, -150.1,    1.0229, 3,    237.528,   90.0,    1.0285
"464", 0.4, 1,    235.679,  -29.8,    1.0205, 2,    236.019, -150.1,     1.022, 3,    237.547,   90.0,    1.0286
"465", 0.4, 1,    235.786,  -29.9,     1.021, 2,    236.177, -150.1,    1.0227, 3,    237.599,   90.0,    1.0288
"466", 0.4, 1,    235.882,  -29.9,    1.0214, 2,    236.313, -150.1,    1.0233, 3,    237.672,   90.0,    1.0291
"467", 0.4, 1,    234.884,  -29.8,    1.0171, 2,    235.725, -150.2,    1.0207, 3,    237.967,   90.1,    1.0304
"468", 0.4, 1,    234.948,  -29.8,    1.0174, 2,    235.774, -150.2,    1.0209, 3,    237.953,   90.1,    1.0304
"469", 0.4, 1,    234.948,  -29.8,    1.0174, 2,    235.774, -150.2,    1.0209, 3,    237.953,   90.1,    1.0304
"470", 0.4, 1,    234.984,  -29.8,    1.0175, 2,    235.819, -150.2,    1.0211, 3,    237.941,   90.1,    1.0303
"471", 0.4, 1,    235.823,  -29.9,    1.0211, 2,    236.232, -150.1,    1.0229, 3,    237.523,   90.0,    1.0285
"472", 0.4, 1,    235.678,  -29.8,    1.0205, 2,    236.018, -150.1,     1.022, 3,    237.547,   90.0,    1.0286
"473", 0.4, 1,    235.786,  -29.9,     1.021, 2,    236.177, -150.1,    1.0227, 3,    237.599,   90.0,    1.0288
"474", 0.4, 1,    235.882,  -29.9,    1.0214, 2,    236.313, -150.1,    1.0233, 3,    237.672,   90.0,    1.0291
"475", 0.4, 1,     234.86,  -29.8,     1.017, 2,    235.706, -150.2,    1.0206, 3,    237.972,   90.1,    1.0304
"476", 0.4, 1,    234.884,  -29.8,    1.0171, 2,    235.725, -150.2,    1.0207, 3,    237.967,   90.1,    1.0304
"477", 0.4, 1,    234.983,  -29.8,    1.0175, 2,    235.819, -150.2,    1.0211, 3,    237.941,   90.1,    1.0303
"478", 0.4, 1,    235.823,  -29.9,    1.0211, 2,    236.232, -150.1,    1.0229, 3,    237.519,   90.0,    1.0285
"479", 0.4, 1,    235.676,  -29.8,    1.0205, 2,    236.016, -150.1,     1.022, 3,    237.546,   90.0,    1.0286
"480", 0.4, 1,    235.786,  -29.9,     1.021, 2,    236.177, -150.1,    1.0227, 3,    237.599,   90.0,    1.0288
"481", 0.4, 1,    235.882,  -29.9,    1.0214, 2,    236.313, -150.1,    1.0233, 3,    237.672,   90.0,    1.0291
"482", 0.4, 1,    234.845,  -29.8,    1.0169, 2,    235.664, -150.2,    1.0205, 3,    237.972,   90.1,    1.0304
