Node,X,Y
SourceBus,359.9,162.81599999999162
1,359.66300000000047,162.81599999999162
2,358.59600000001956,163.07499999995343
3,358.48100000002887,163.0799999999581
4,358.37900000001537,163.0449999999837
5,358.304999999993,162.9869999999646
6,358.23399999999674,162.85699999995995
7,355.77899999998044,153.07399999996414
8,355.7530000000261,152.6229999999632
9,355.7530000000261,152.24699999997392
10,355.8040000000037,151.920999999973
11,355.90399999998044,151.69599999999627
12,356.079000000027,151.5449999999837
13,356.179999999993,151.44499999994878
14,356.5,151.2939999999944
15,359.29200000001583,150.64499999996042
16,359.31400000001304,150.7390000000014
17,362.67800000001444,149.85899999999674
18,359.3159999999916,150.7829999999958
19,362.9070000000065,149.78999999997905
20,359.31199999997625,150.8289999999688
21,363.14199999999255,149.6599999999744
22,359.30300000001444,150.86999999999534
23,363.4400000000023,149.3399999999674
24,359.28800000000047,150.9189999999944
25,364.0030000000261,148.77799999999115
26,359.2629999999772,150.96899999998277
27,367.3640000000014,153.63299999997253
28,371.1900000000023,141.86999999999534
29,359.2390000000014,151.01799999998184
30,368.3059999999823,154.95899999997346
31,366.23200000001816,154.74199999996927
32,373.1109999999753,140.03899999998976
33,359.1699999999837,151.1469999999972
34,372.0,155.43699999997625
35,366.20799999998417,154.78999999997905
36,377.16949999998906,144.0789999999688
37,378.9189999999944,134.50199999997858
38,359.0920000000042,151.25899999996182
39,366.1830000000191,154.8629999999539
40,377.4440000000177,143.78800000000047
41,378.4099999999744,145.39199999999255
42,382.9629999999888,130.67399999999907
43,378.7750000000233,134.3399999999674
44,359.07299999997485,151.28699999995297
45,366.1589999999851,154.95899999997346
46,377.5709999999963,143.6599999999744
47,380.0,149.43699999997625
48,386.0260000000126,127.78899999998976
49,378.7420000000275,134.24099999997998
50,359.03800000000047,151.31999999994878
51,366.1589999999851,155.19999999995343
52,377.75400000001537,143.60499999998137
53,386.4749999999767,127.38099999999395
54,386.49099999998,128.2280000000028
55,378.75900000002,134.1259999999893
56,358.9639999999781,151.36699999996927
57,366.23200000001816,155.39299999998184
58,377.93599999998696,143.60499999998137
59,388.46899999998277,125.48999999999069
60,386.5480000000098,128.2599999999511
61,378.7750000000233,134.02700000000186
62,358.89199999999255,151.3969999999972
63,366.9070000000065,156.11599999997998
64,378.0449999999837,143.60499999998137
65,388.86999999999534,125.100999999966
66,394.2299999999814,131.4069999999483
67,386.61800000001676,128.2839999999851
68,378.82500000001164,133.94499999994878
69,358.81199999997625,151.4199999999837
70,368.0,159.43699999997625
71,378.24599999998463,143.67799999995623
72,393.9319999999716,120.86499999999069
73,394.0,135.43699999997625
74,394.0,135.43699999997625
75,386.7930000000051,128.32399999996414
