Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINE525, 3.10829E-011,  -110.56, 4.72937E-011,   180.00, 5.86606E-011,   -82.87,          0,     0.00, 1.01081E-010,  -120.26, 3.10829E-011,    69.44, 4.72937E-011,     0.00, 5.86606E-011,    97.13,          0,     0.00, 1.01081E-010,    59.74
Line.LINE526,    8.97212,   -47.93, 7.25422E-010,  -155.18, 1.12598E-009,    84.34,          0,     0.00,    8.97212,   -47.93,    8.97212,   132.07, 7.25422E-010,    24.82, 1.12598E-009,   -95.66,          0,     0.00,    8.97212,   132.07
Line.LINE527,    4.48486,   -47.94, 4.66864E-010,    24.39, 2.36888E-010,   100.62,          0,     0.00,    4.48486,   -47.94,    4.48486,   132.06, 4.66864E-010,  -155.61, 2.36888E-010,   -79.38,          0,     0.00,    4.48486,   132.06
Line.LINE528,    4.48113,   -47.96, 1.57256E-010,    48.75, 6.98643E-010,    91.19,          0,     0.00,    4.48113,   -47.96,    4.48113,   132.04, 1.57256E-010,  -131.25, 6.98643E-010,   -88.81,          0,     0.00,    4.48113,   132.04
Line.LINE529, 1.46395E-010,   161.90, 1.09279E-010,    22.51,    8.86583,    71.85,          0,     0.00,    8.86583,    71.85, 1.46395E-010,   -18.10, 1.09279E-010,  -157.49,    8.86583,  -108.15,          0,     0.00,    8.86583,  -108.15
Line.LINE530,    31.3536,   -47.99,    31.3217,  -168.29,    22.1859,    71.84,          0,     0.00,    9.01112,  -107.90,    31.3536,   132.01,    31.3217,    11.71,    22.1859,  -108.16,          0,     0.00,    9.01112,    72.10
Line.LINE531, 1.16415E-009,    53.13, 2.60313E-009,   -10.30, 3.97861E-009,  -110.56,          0,     0.00, 3.75428E-009,   -60.26, 1.16415E-009,  -126.87, 2.60313E-009,   169.70, 3.97861E-009,    69.44,          0,     0.00, 3.75428E-009,   119.74
Line.LINE532, 1.49693E-009,   -41.01,    13.4231,  -168.34,    4.42602,    71.85,          0,     0.00,     11.862,   172.77, 1.49693E-009,   138.99,    13.4231,    11.66,    4.42602,  -108.15,          0,     0.00,     11.862,    -7.23
Line.LINE533, 4.94819E-011,    17.10, 4.66244E-011,  -110.56, 5.86606E-011,    97.13,          0,     0.00, 3.74994E-011,    50.91, 4.94819E-011,  -162.90, 4.66244E-011,    69.44, 5.86606E-011,   -82.87,          0,     0.00, 3.74994E-011,  -129.09
Line.LINE534,    8.97212,   -47.93, 7.36656E-010,  -154.87, 1.15477E-009,    84.58,          0,     0.00,    8.97212,   -47.93,    8.97212,   132.07, 7.36656E-010,    25.13, 1.15477E-009,   -95.42,          0,     0.00,    8.97212,   132.07
Line.LINE535,    4.48486,   -47.94, 8.13941E-010,   178.21, 2.91038E-011,     0.00,          0,     0.00,    4.48486,   -47.94,    4.48486,   132.06, 8.13941E-010,    -1.79, 2.91038E-011,   180.00,          0,     0.00,    4.48486,   132.06
Line.LINE536,    4.48113,   -47.96, 1.61732E-010,    95.53, 2.32859E-010,    90.90,          0,     0.00,    4.48113,   -47.96,    4.48113,   132.04, 1.61732E-010,   -84.47, 2.32859E-010,   -89.10,          0,     0.00,    4.48113,   132.04
Line.LINE537, 2.2292E-011,    15.99, 2.34477E-011,  -167.68,    4.43311,    71.85,          0,     0.00,    4.43311,    71.85, 2.2292E-011,  -164.01, 2.34477E-011,    12.32,    4.43311,  -108.15,          0,     0.00,    4.43311,  -108.15
Line.LINE538, 2.43603E-012,   122.86, 7.91289E-012,  -136.96,    4.43271,    71.85,          0,     0.00,    4.43271,    71.85, 2.43603E-012,   -57.14, 7.91289E-012,    43.04,    4.43271,  -108.15,          0,     0.00,    4.43271,  -108.15
Line.LINE539,    31.3536,   -47.99,    31.3217,  -168.29,    22.1859,    71.84,          0,     0.00,    9.01112,  -107.90,    31.3536,   132.01,    31.3217,    11.71,    22.1859,  -108.16,          0,     0.00,    9.01112,    72.10
Line.LINE540, 1.56188E-009,   116.57, 4.63912E-009,    17.53, 4.165E-009,  -116.57,          0,     0.00, 2.0825E-009,   -26.57, 1.56188E-009,   -63.43, 4.63912E-009,  -162.47, 4.165E-009,    63.43,          0,     0.00, 2.0825E-009,   153.43
Line.LINE541, 1.45654E-009,   -41.25,    13.4231,  -168.34,    4.42602,    71.85,          0,     0.00,     11.862,   172.77, 1.45654E-009,   138.75,    13.4231,    11.66,    4.42602,  -108.15,          0,     0.00,     11.862,    -7.23
Line.LINE542, 3.63798E-012,   180.00, 7.63976E-011,   180.00, 1.45519E-011,   180.00,          0,     0.00, 9.45874E-011,   180.00, 3.63798E-012,     0.00, 7.63976E-011,     0.00, 1.45519E-011,     0.00,          0,     0.00, 9.45874E-011,     0.00
Line.LINE543,    8.97212,   -47.93, 6.92646E-010,  -155.20, 1.11063E-009,    84.74,          0,     0.00,    8.97212,   -47.93,    8.97212,   132.07, 6.92646E-010,    24.80, 1.11063E-009,   -95.26,          0,     0.00,    8.97212,   132.07
Line.LINE544,    4.48486,   -47.94, 1.30298E-010,   179.20, 1.17321E-010,   -82.87,          0,     0.00,    4.48486,   -47.94,    4.48486,   132.06, 1.30298E-010,    -0.80, 1.17321E-010,    97.13,          0,     0.00,    4.48486,   132.06
Line.LINE545,    4.48113,   -47.96, 1.2483E-010,    55.05, 2.18508E-010,    92.62,          0,     0.00,    4.48113,   -47.96,    4.48113,   132.04, 1.2483E-010,  -124.95, 2.18508E-010,   -87.38,          0,     0.00,    4.48113,   132.04
Line.LINE546, 3.39458E-012,   168.41, 1.89643E-011,   153.67,    4.43311,    71.85,          0,     0.00,    4.43311,    71.85, 3.39458E-012,   -11.59, 1.89643E-011,   -26.33,    4.43311,  -108.15,          0,     0.00,    4.43311,  -108.15
Line.LINE547,    31.3536,   -47.99,    31.3217,  -168.29,    22.1859,    71.84,          0,     0.00,    9.01112,  -107.90,    31.3536,   132.01,    31.3217,    11.71,    22.1859,  -108.16,          0,     0.00,    9.01112,    72.10
Line.LINE548, 4.29476E-009,   147.17, 1.62981E-009,     0.00, 7.58042E-009,  -100.62,          0,     0.00, 6.13477E-009,  -123.39, 4.29476E-009,   -32.83, 1.62981E-009,   180.00, 7.58042E-009,    79.38,          0,     0.00, 6.13477E-009,    56.61
Line.LINE549, 1.47565E-009,   -40.05,    13.4231,  -168.34,    4.42602,    71.85,          0,     0.00,     11.862,   172.77, 1.47565E-009,   139.95,    13.4231,    11.66,    4.42602,  -108.15,          0,     0.00,     11.862,    -7.23
Line.LINE550, 2.69953E-011,   147.38, 4.06738E-012,  -116.57, 7.27596E-012,     0.00,          0,     0.00, 2.04384E-011,   147.72, 2.69953E-011,   -32.62, 4.06738E-012,    63.43, 7.27596E-012,   180.00,          0,     0.00, 2.04384E-011,   -32.28
Line.LINE551,    4.48605,   -47.93, 7.5506E-010,  -163.20, 1.16799E-009,    85.35,          0,     0.00,    4.48605,   -47.93,    4.48605,   132.07, 7.5506E-010,    16.80, 1.16799E-009,   -94.65,          0,     0.00,    4.48605,   132.07
Line.LINE552,    4.48607,   -47.93, 1.58227E-011,  -147.88, 7.62295E-012,  -107.35,          0,     0.00,    4.48607,   -47.93,    4.48607,   132.07, 1.58227E-011,    32.12, 7.62295E-012,    72.65,          0,     0.00,    4.48607,   132.07
Line.LINE553,    4.48486,   -47.94, 1.15092E-010,   -34.13,          0,     0.00,          0,     0.00,    4.48486,   -47.94,    4.48486,   132.06, 1.15092E-010,   145.87,          0,     0.00,          0,     0.00,    4.48486,   132.06
Line.LINE554,    4.48113,   -47.96, 1.88664E-010,   113.66, 3.49549E-010,    92.39,          0,     0.00,    4.48113,   -47.96,    4.48113,   132.04, 1.88664E-010,   -66.34, 3.49549E-010,   -87.61,          0,     0.00,    4.48113,   132.04
Line.LINE555, 3.23621E-012,     7.06, 2.23883E-012,   151.16,    4.43311,    71.85,          0,     0.00,    4.43311,    71.85, 3.23621E-012,  -172.94, 2.23883E-012,   -28.84,    4.43311,  -108.15,          0,     0.00,    4.43311,  -108.15
Line.LINE556,    31.3536,   -47.99,    31.3217,  -168.29,    22.1859,    71.84,          0,     0.00,    9.01112,  -107.90,    31.3536,   132.01,    31.3217,    11.71,    22.1859,  -108.16,          0,     0.00,    9.01112,    72.10
Line.LINE557, 1.87714E-009,   -29.74, 2.71525E-009,    30.96, 1.91997E-009,  -104.04,          0,     0.00, 3.76149E-009,   -21.80, 1.87714E-009,   150.26, 2.71525E-009,  -149.04, 1.91997E-009,    75.96,          0,     0.00, 3.76149E-009,   158.20
Line.LINE558, 1.4295E-009,   -38.39,    13.4231,  -168.34,    4.42602,    71.85,          0,     0.00,     11.862,   172.77, 1.4295E-009,   141.61,    13.4231,    11.66,    4.42602,  -108.15,          0,     0.00,     11.862,    -7.23
Line.LINE559, 7.27596E-012,   -90.00, 2.36469E-011,    67.38, 1.09139E-011,     0.00,          0,     0.00, 2.47409E-011,    36.03, 7.27596E-012,    90.00, 2.36469E-011,  -112.62, 1.09139E-011,   180.00,          0,     0.00, 2.47409E-011,  -143.97
Line.LINE560,    4.48605,   -47.93, 6.38173E-010,  -149.89, 1.16996E-009,    84.29,          0,     0.00,    4.48605,   -47.93,    4.48605,   132.07, 6.38173E-010,    30.11, 1.16996E-009,   -95.71,          0,     0.00,    4.48605,   132.07
Line.LINE561,    4.48607,   -47.93, 1.52375E-011,   149.51, 1.45803E-011,   -86.42,          0,     0.00,    4.48607,   -47.93,    4.48607,   132.07, 1.52375E-011,   -30.49, 1.45803E-011,    93.58,          0,     0.00,    4.48607,   132.07
